#
#Results from query to  NASA/IPAC Extragalactic Database (NED),
#which is operated by the Jet Propulsion Laboratory, California Institute of
#Technology, under contract with the National Aeronautics and Space Administration.
#This work was (partially) supported by the US National Virtual Observatory
#development project, which is funded by the National Science Foundation
#under cooperative agreement AST0122449 with The Johns Hopkins University.
#
#
#queryDateTime:2017-10-19T10:56:56PDT
#
#
#
#Main Information Table for NED objects within 20.000 arcmin of object NGC 4889
#
#
#
#Equinox:J2000.0
#
#
#
#CoordSystem:Equatorial
#
#No.	Object Name	RA(deg)	DEC(deg)	Type	Velocity	Redshift	Redshift Flag	Magnitude and Filter	Distance (arcmin)	References	Notes	Photometry Points	Positions	Redshift Points	Diameter Points	Associations
198	[AGO2007] IPN 225	194.88550 	  27.92156 	EmLS	  5861	 0.019550 	    	     	  8.539	2	0	1	0	1	0	2
199	COMAi J130046.526+275950.77	195.19386 	  27.99744 	GGroup	  6363	 0.021225 	    	21.65	  8.565	2	0	0	0	0	0	3
200	[ANM98] +1.66+1.02	194.89278 	  27.90734 	G	  6805	 0.022700 	    	21.30	  8.568	2	0	0	0	0	0	4
201	SDSS J125932.10+275515.7	194.88376 	  27.92105 	G	  6815	 0.022732 	    	18.5g	  8.635	20	0	33	4	2	4	1
202	SA 1656-055	194.94167 	  27.85833 	GGroup	  8009	 0.026715 	    	17.69	  8.637	2	0	0	0	0	0	0
203	[ALB2009] J194.8732+27.95258  	194.87320 	  27.95258 	GGroup	  4857	 0.016200 	    	     	  8.640	1	0	0	0	0	0	6
204	COMAi J130044.711+280144.75	195.18634 	  28.02922 	G	  6843	 0.022826 	    	23.0R	  8.663	5	0	3	1	1	0	0
205	CGCG 160-235	194.94218 	  27.85724 	G	  8117	 0.027075 	    	15.6g	  8.676	73	0	52	11	13	7	0
206	SDSS J130047.53+275829.9	195.19805 	  27.97499 	G	  5820	 0.019413 	    	20.9r	  8.700	6	0	16	1	1	4	1
207	SDSS J125933.65+275423.4	194.89022 	  27.90653 	G	  7075	 0.023600 	    	22.9g	  8.710	2	0	8	1	0	4	2
208	SDSS J130044.10+280215.4	195.18377 	  28.03762 	G	  8889	 0.029650 	    	19.84	  8.734	10	0	16	3	2	4	0
209	SDSS J125930.25+280115.0	194.87608 	  28.02085 	G	  7166	 0.023903 	    	18.7g	  8.764	20	0	31	7	3	4	0
210	[AGO2007] IPN 114	194.93904 	  27.85700 	EmLS	  6410	 0.021381 	    	     	  8.782	2	0	1	0	1	0	0
211	SDSS J125929.32+275631.9	194.87219 	  27.94221 	G	  5613	 0.018723 	    	19.2g	  8.819	12	0	36	4	2	4	0
212	SDSS J130039.35+280411.0	195.16399 	  28.06973 	G	  6652	 0.022189 	    	21.6g	  8.857	4	0	16	1	1	4	1
213	SDSS J130042.86+280313.8	195.17861 	  28.05384 	G	  6775	 0.022600 	    	19.2g	  8.946	14	0	26	3	1	4	0
214	SDSS J130042.51+280325.4	195.17716 	  28.05707 	G	  5817	 0.019403 	    	19.8g	  8.982	11	0	25	3	2	4	0
215	SDSS J130019.70+280717.4	195.08210 	  28.12152 	G	  6659	 0.022212 	    	19.00	  9.040	8	0	22	3	1	4	0
216	COMAi J125930.828+280230.68	194.87850 	  28.04190 	G	  6549	 0.021845 	    	19.54	  9.105	9	0	10	3	2	0	4
217	SDSS J125928.50+280109.3	194.86875 	  28.01925 	G	  6045	 0.020164 	    	19.0b	  9.108	21	0	16	6	3	0	0
218	2MASX J12593141+2802478	194.88101 	  28.04660 	G	  6979	 0.023279 	    	15.4g	  9.111	63	2	39	9	13	7	0
219	ABELL 1656:[BDG95] +0430-0555 	195.07375 	  28.12472 	G	  6593	 0.021992 	    	     	  9.111	2	0	0	0	1	0	0
220	ABELL 1656:[EF2011] 3463	195.19659 	  27.92368 	G	  8571	 0.028590 	    	16.0g	  9.199	1	0	0	0	0	0	0
221	[AGO2007] IPN 104	194.93775 	  27.84844 	EmLS	  8520	 0.028420 	    	     	  9.245	2	0	1	0	1	0	0
222	2MASX J12592657+2759548	194.86081 	  27.99848 	G	  6684	 0.022295 	    	16.4g	  9.260	71	0	41	10	12	7	0
223	IC 4044	195.19752 	  27.92218 	G	  8571	 0.028590 	    	16.1g	  9.276	53	0	45	10	10	6	0
224	COMAi J130048.776+280111.20	195.20342 	  28.01977 	G	  7339	 0.024480 	    	22.4R	  9.341	4	0	3	1	1	0	2
225	2MASS J13003091+2806300	195.12898 	  28.10840 	G	  5203	 0.017355 	    	18.1g	  9.355	30	0	24	9	4	4	0
226	SDSS J125937.20+275213.6	194.90500 	  27.87044 	G	  6189	 0.020644 	    	17.90	  9.357	21	0	16	4	2	0	0
227	IC 3968	194.85620 	  27.97320 	G	  6112	 0.020387 	    	16.2g	  9.418	61	1	42	10	12	6	0
228	2MASX J12595104+2749592	194.96251 	  27.83296 	G	  7895	 0.026335 	    	17.0g	  9.435	47	0	37	6	4	6	0
229	2MASX J12592529+2758048	194.85553 	  27.96793 	G	  7698	 0.025678 	    	16.6b	  9.466	59	0	47	11	10	7	0
230	2MASX J12592868+2802258	194.86969 	  28.04052 	G	  5569	 0.018576 	    	16.3g	  9.496	52	2	36	8	11	7	0
231	SSTSL2 J125940.19+275122.1	194.91742 	  27.85647 	G	  3803	 0.012687 	    	16.5g	  9.509	2	0	12	1	1	0	1
232	SDSS J130050.29+280037.3	195.20954 	  28.01039 	G	  4563	 0.015221 	    	21.7g	  9.520	5	0	18	1	1	3	0
233	2MASX J12595511+2807422	194.97955 	  28.12836 	G	  7577	 0.025274 	    	16.4b	  9.526	88	2	39	10	13	7	0
234	SDSS J125951.54+274946.3	194.96478 	  27.82955 	G	  7974	 0.026600 	    	19.8g	  9.576	5	0	17	1	0	4	1
235	SDSS J125925.04+275948.2	194.85437 	  27.99674 	G	  5507	 0.018369 	    	17.8g	  9.584	38	0	31	9	4	4	0
236	2MASX J12594007+2751177	194.91710 	  27.85495 	G	  3820	 0.012742 	    	16.5g	  9.590	51	1	45	8	11	6	1
237	COMAi J125926.032+280104.00	194.85857 	  28.01784 	G	  5486	 0.018299 	    	21.5R	  9.605	5	0	1	1	1	0	1
238	SDSS J125939.47+275116.5	194.91458 	  27.85453 	G	  3834	 0.012789 	    	18.66	  9.695	19	0	14	7	4	4	0
239	COMAi J130045.913+280335.50	195.19138 	  28.05986 	G	  7919	 0.026415 	    	20.9R	  9.712	5	0	1	1	1	0	0
240	[ALB2009] J194.8504+27.96517  	194.85040 	  27.96517 	GGroup	  3837	 0.012800 	    	     	  9.748	1	0	0	0	0	0	0
241	2MASX J12592536+2756038	194.85557 	  27.93449 	G	  7604	 0.025364 	    	17.3g	  9.788	40	0	35	6	5	6	1
242	SDSS J125923.25+275854.9	194.84688 	  27.98192 	G	  8874	 0.029600 	    	19.66	  9.913	8	0	2	1	0	0	0
243	SDSS J130051.83+280101.0	195.21600 	  28.01695 	G	  8489	 0.028316 	    	23.9g	  9.942	2	0	6	1	1	4	0
244	IC 3973	194.87844 	  27.88421 	G	  4755	 0.015861 	    	14.9g	  9.944	119	1	63	16	20	7	1
245	2MASX J12593524+2751488	194.89702 	  27.86364 	G	  6274	 0.020928 	    	17.1g	  9.945	53	0	38	10	7	6	0
246	2MASX J13001857+2748555	195.07738 	  27.81554 	G	  5360	 0.017879 	    	16.52	  9.958	31	0	50	7	3	6	0
247	[ALB2009] J194.9353+27.83393  	194.93530 	  27.83393 	GTrpl	  3508	 0.011700 	    	     	 10.050	2	0	0	0	0	0	0
248	SDSS J130053.76+275805.7	195.22400 	  27.96825 	G	  5837	 0.019470 	    	18.78	 10.088	8	0	2	2	0	0	0
249	CGCG 160-240	195.02292 	  27.80761 	G	  6593	 0.021992 	    	15.5g	 10.180	67	0	47	10	12	6	1
250	2MASX J12592136+2758248	194.83922 	  27.97357 	G	  6020	 0.020081 	    	16.70	 10.317	45	0	35	9	7	6	0
251	NGC 4908 GROUP	195.21250 	  28.04583 	GGroup	  8784	 0.029300 	    	18.84	 10.324	2	0	0	0	0	0	0
252	IC 4051	195.21483 	  28.04281 	G	  8793	 0.029330 	    	14.6g	 10.367	148	4	110	14	18	10	1
253	2MASS J13005112+2802499	195.21314 	  28.04713 	G	  6459	 0.021545 	    	16.6g	 10.387	18	0	24	6	4	4	0
254	NGC 4908	195.22692 	  28.00764 	G	  4994	 0.016658 	    	14.1g	 10.391	204	5	64	16	20	12	1
255	HDCE 0745	194.83750 	  27.98444 	GGroup	  7012	 0.023389 	    	     	 10.415	1	0	0	0	1	0	0
256	[AGO2007] IPN 113	194.88512 	  27.86317 	EmLS	  6719	 0.022412 	    	     	 10.433	2	0	1	0	1	0	5
257	SDSS J125923.41+275510.4	194.84755 	  27.91957 	G	  6824	 0.022762 	    	18.2g	 10.459	27	0	38	8	2	4	1
258	2MASS J12593186+2751406	194.88288 	  27.86131 	G	  4640	 0.015477 	    	18.0g	 10.596	35	0	24	7	6	0	2
259	NGC 4869	194.84735 	  27.91159 	G	  6859	 0.022879 	    	14.5g	 10.637	269	5	79	17	20	11	3
260	SDSS J125920.03+275746.9	194.83349 	  27.96304 	G	  7495	 0.025000 	    	22.5g	 10.652	2	0	8	1	0	4	0
261	SDSS J125919.71+275824.5	194.83216 	  27.97350 	G	  7206	 0.024037 	    	18.0g	 10.691	32	0	33	6	6	4	0
262	NGC 4869 GROUP	194.84583 	  27.91167 	GGroup	  6788	 0.022642 	    	17.23	 10.710	1	0	0	0	0	0	1
263	2MASX J13000425+2809182	195.01771 	  28.15511 	G	  6693	 0.022325 	    	17.9g	 10.721	27	0	13	5	6	2	0
264	2MASX J13003334+2749266	195.13901 	  27.82427 	G	  8184	 0.027299 	    	16.43	 10.726	36	0	45	9	3	6	0
265	2MASX J12595026+2808392	194.95953 	  28.14438 	G	  6780	 0.022616 	    	17.9b	 10.787	31	0	28	6	5	6	0
266	COMAi J130051.032+280347.56	195.21275 	  28.06322 	G	  6678	 0.022275 	    	21.9R	 10.795	5	0	1	1	1	0	0
267	SDSS J130004.22+280924.2	195.01758 	  28.15672 	G	  7165	 0.023900 	    	20.06	 10.818	8	0	2	2	1	0	0
268	2MASX J12592846+2805078	194.86857 	  28.08539 	G	  3720	 0.012409 	    	15.41	 10.906	37	0	40	8	4	6	0
269	COMAi J125932.496+275102.47	194.88548 	  27.85074 	G	  8184	 0.027300 	    	21.5g	 10.922	10	0	9	1	1	0	1
270	2MASX J13004459+2806026	195.18598 	  28.10063 	G	  6616	 0.022069 	    	16.69	 10.950	65	0	29	11	11	7	0
271	SDSS J125931.60+280601.9	194.88167 	  28.10053 	G	  7420	 0.024750 	    	18.22	 10.950	21	0	9	4	3	0	0
272	2MASX J13000871+2809352	195.03636 	  28.15986 	G	  7447	 0.024840 	    	16.4g	 10.972	34	0	28	8	6	6	0
273	[IBG2003] J125921+275436	194.84125 	  27.91000 	G	  6875	 0.022932 	    	18.6r	 10.973	2	0	0	0	0	0	2
274	SDSSCGA 00345	195.02750 	  28.16053 	GGroup	  6595	 0.022000 	    	14.84	 11.017	2	0	0	1	1	0	1
275	SDSS J125942.52+280807.9	194.92720 	  28.13554 	G	  9174	 0.030600 	    	19.5g	 11.063	5	0	18	2	0	4	0
276	GIN 762	194.84424 	  27.89688 	G	  5087	 0.016968 	    	16.0g	 11.142	71	0	44	10	11	7	0
277	SDSS J130047.67+280533.9	195.19863 	  28.09277 	G	  6775	 0.022600 	    	18.6r	 11.153	6	0	17	1	0	4	0
278	IC 4045	195.20267 	  28.09078 	G	  6940	 0.023149 	    	14.8g	 11.248	163	2	65	17	22	11	0
279	2MASX J12595489+2747453	194.97858 	  27.79600 	G	  8251	 0.027522 	    	17.0g	 11.249	42	0	22	5	7	2	0
280	SDSS J125925.75+280453.2	194.85731 	  28.08145 	G	  7694	 0.025664 	    	18.9g	 11.257	7	0	26	3	1	4	0
281	SDSS J130042.56+280658.6	195.17735 	  28.11630 	G	  6206	 0.020700 	    	17.8g	 11.295	11	0	19	3	0	4	0
282	SDSS J125916.70+275857.2	194.81961 	  27.98257 	G	  7195	 0.024000 	    	20.1g	 11.358	11	0	26	2	0	4	1
283	2MASX J12593697+2749327	194.90404 	  27.82581 	G	  6231	 0.020784 	    	17.0g	 11.388	40	0	52	11	5	6	0
284	IC 3976	194.87252 	  27.85014 	G	  6865	 0.022899 	    	15.3g	 11.451	110	1	60	15	18	7	2
285	SDSS J130048.04+280557.2	195.20019 	  28.09925 	G	  6236	 0.020800 	    	19.4g	 11.462	13	0	17	3	1	4	0
286	SDSS J130055.92+275354.6	195.23304 	  27.89850 	G	  6056	 0.020200 	    	17.46	 11.560	26	0	22	6	3	0	0
287	NGC 4895A	195.03798 	  28.17040 	G	  6781	 0.022619 	    	15.7g	 11.606	107	4	40	14	17	6	1
288	NGC 4867	194.81353 	  27.97072 	G	  4786	 0.015964 	    	15.1g	 11.682	146	1	75	14	17	11	0
289	SDSS J125926.45+275124.7	194.86024 	  27.85689 	G	  5007	 0.016700 	    	18.5g	 11.691	22	0	33	6	2	4	0
290	SDSS J130050.99+275143.5	195.21249 	  27.86210 	G	  9324	 0.031100 	    	20.45	 11.713	6	0	17	2	0	4	0
291	SDSS J125940.72+280840.6	194.91970 	  28.14462 	G	  7519	 0.025081 	    	18.75	 11.734	14	0	22	5	2	4	0
292	SDSS J130017.54+274703.8	195.07314 	  27.78443 	G	  7015	 0.023400 	    	17.7g	 11.740	25	0	33	8	4	4	0
293	SDSS J130012.62+274654.4	195.05260 	  27.78183 	G	  7015	 0.023401 	    	16.2g	 11.752	11	0	18	4	2	4	1
294	SDSS J130012.62+274654.6	195.05258 	  27.78183 	G	  7016	 0.023402 	    	16.4g	 11.752	1	0	0	0	2	0	2
295	MAPS-NGP O_323_0982454	195.05167 	  27.78167 	G	  6992	 0.023323 	    	16.33	 11.758	29	0	13	3	2	0	1
296	CGCG 160-251	195.14822 	  28.14613 	G	  5461	 0.018216 	    	16.1b	 11.817	65	0	39	10	11	6	0
297	2MASX J13004540+2750076	195.18910 	  27.83551 	G	  8765	 0.029237 	    	17.25	 11.824	37	0	42	5	5	6	0
298	GALEXASC J130033.08+280906.7  	195.13771 	  28.15222 	G	  6712	 0.022390 	PHOT	20.1r	 11.864	3	0	6	1	1	0	1
299	GIN 763	194.83405 	  27.88600 	G	  6452	 0.021522 	    	16.0g	 11.917	84	0	49	10	15	7	0
300	SDSS J130040.07+274851.0	195.16698 	  27.81418 	G	  3508	 0.011700 	    	20.76	 12.052	6	0	17	2	0	4	0
301	2MASX J13000626+2746332	195.02620 	  27.77580 	G	  6218	 0.020741 	    	15.32	 12.079	53	0	25	6	6	2	0
302	SDSS J130006.28+274632.7	195.02620 	  27.77577 	G	  6178	 0.020608 	SPEC	15.6g	 12.081	2	0	15	3	2	4	0
303	2MASX J12592022+2804278	194.83416 	  28.07429 	G	  7165	 0.023900 	    	17.4g	 12.082	34	0	43	6	6	6	0
304	SDSS J125949.43+280959.6	194.95600 	  28.16657 	G	  6266	 0.020900 	    	20.22	 12.099	6	0	17	2	0	4	0
305	NGC 4864	194.80462 	  27.97700 	G	  6755	 0.022532 	    	14.5g	 12.148	158	5	76	14	20	11	1
306	CGCG 160-261	195.24691 	  27.89984 	G	  6896	 0.023003 	    	15.3g	 12.204	78	0	53	12	16	7	0
307	SDSS J130008.05+274623.9	195.03357 	  27.77332 	G	  8664	 0.028900 	    	17.2g	 12.221	31	0	28	4	3	4	0
308	SSTSL2 J125930.44+274932.2	194.87662 	  27.82558 	G	  8844	 0.029500 	    	18.9g	 12.332	1	0	10	1	1	0	0
309	SDSS J125930.08+274933.6	194.87533 	  27.82600 	G	  8874	 0.029600 	    	19.48	 12.359	9	0	11	1	0	0	0
310	NGC 4865	194.83279 	  28.08431 	G	  4700	 0.015677 	    	14.3g	 12.445	135	3	83	16	18	12	0
311	SDSS J125915.58+275356.9	194.81493 	  27.89916 	G	  5219	 0.017409 	    	18.8g	 12.510	11	0	26	3	0	4	0
312	SDSS J125935.95+274814.9	194.89982 	  27.80416 	G	  6326	 0.021100 	    	19.09	 12.573	10	0	28	3	0	4	0
313	2MASS J12591153+2800334	194.79811 	  28.00927 	G	  6942	 0.023156 	    	17.5g	 12.640	41	0	28	10	5	4	0
314	SDSS J125915.81+275309.7	194.81590 	  27.88604 	G	  6516	 0.021735 	    	19.6g	 12.779	7	0	24	2	0	4	0
315	SDSS J125914.62+275344.1	194.81092 	  27.89560 	G	  6450	 0.021515 	    	18.2g	 12.788	31	0	36	5	4	4	0
316	SDSS J130045.10+274845.3	195.18794 	  27.81259 	G	  5816	 0.019400 	    	19.55	 12.809	6	0	17	2	0	4	0
317	SDSS J125944.13+281034.6	194.93394 	  28.17632 	G	  8212	 0.027392 	    	18.54	 13.077	20	0	27	7	3	4	0
318	SDSS J130054.76+275031.2	195.22821 	  27.84203 	G	  7082	 0.023623 	    	16.83	 13.105	38	0	38	8	5	4	0
319	2MASX J12593746+2809577	194.90619 	  28.16614 	G	  5729	 0.019110 	    	17.1g	 13.209	38	1	26	4	7	6	1
320	SDSS J130029.92+274612.9	195.12468 	  27.77027 	G	  8336	 0.027807 	    	19.04	 13.306	16	0	30	7	3	4	0
321	SDSS J125929.27+274824.8	194.87196 	  27.80689 	G	  6710	 0.022382 	    	19.19	 13.338	10	0	11	2	1	0	0
322	CGCG 160-223	194.80800 	  28.07625 	G	  7822	 0.026091 	    	15.1g	 13.363	79	1	49	12	12	8	0
323	[WB2013] J125912.80+275310.1  	194.80333 	  27.88614 	GClstr	  6895	 0.023000 	    	     	 13.382	1	0	0	1	1	0	0
324	SDSS J130052.72+274932.2	195.21967 	  27.82565 	G	  4966	 0.016566 	    	17.9g	 13.399	11	0	17	4	3	4	0
325	2MASX J12590943+2802279	194.78942 	  28.04092 	G	  7232	 0.024123 	    	17.15	 13.505	45	0	22	9	6	2	0
326	SDSS J130104.82+275330.3	195.27008 	  27.89175 	G	  5774	 0.019260 	    	17.33	 13.526	23	0	2	5	3	0	0
327	ABELL 1656:[ABD2005] G10	194.89457 	  28.16618 	GGroup	  5636	 0.018800 	    	     	 13.536	1	0	0	0	0	0	0
328	SDSS J125940.16+281045.6	194.91692 	  28.17939 	G	  5437	 0.018136 	    	18.0g	 13.631	12	0	17	2	1	4	1
329	SDSS J130105.65+280343.3	195.27356 	  28.06205 	G	  7405	 0.024700 	    	17.8g	 13.683	21	0	17	6	4	4	0
330	NGC 4895	195.07471 	  28.20231 	G	  8492	 0.028326 	    	14.0g	 13.690	132	3	71	16	17	12	0
331	SDSS J130028.41+274540.4	195.11840 	  27.76125 	G	  6835	 0.022800 	    	20.01	 13.700	6	0	17	2	0	4	0
332	2MASX J12593780+2746367	194.90762 	  27.77684 	G	  6786	 0.022636 	    	16.52	 13.750	32	0	42	6	4	6	0
333	2MASX J13003251+2745576	195.13547 	  27.76615 	G	  6697	 0.022339 	    	16.4g	 13.751	43	0	47	8	11	6	0
334	IC 3955	194.77511 	  27.99670 	G	  7678	 0.025611 	    	15.1g	 13.761	102	3	54	12	17	7	0
335	SDSS J125944.92+274548.4	194.93719 	  27.76347 	G	  8094	 0.027000 	    	19.89	 13.800	8	0	17	2	0	4	0
336	GIN 760	194.87770 	  27.79142 	G	  7825	 0.026101 	    	16.5g	 13.877	68	1	37	6	10	6	0
337	SDSS J125909.07+275351.1	194.78782 	  27.89756 	G	  7812	 0.026058 	    	17.7g	 13.887	28	0	31	6	4	4	0
338	SDSS J130109.43+280159.1	195.28931 	  28.03311 	G	  7013	 0.023393 	    	17.3b	 13.944	35	0	31	8	8	4	0
339	2MASX J12595617+2744473	194.98380 	  27.74633 	G	  8883	 0.029630 	    	16.7g	 14.093	35	0	47	8	3	6	0
340	NGC 4907	195.20335 	  28.15834 	G	  5879	 0.019610 	    	14.1g	 14.103	110	2	61	16	17	11	1
341	SDSS J125904.15+275732.7	194.76732 	  27.95914 	G	  6895	 0.023000 	    	16.8g	 14.166	9	0	15	4	3	3	1
342	[DZ2015] 703	194.81200 	  27.84500 	GGroup	  7544	 0.025163 	    	     	 14.182	1	0	0	1	1	0	0
343	GIN 766	194.76604 	  27.95906 	G	  6978	 0.023276 	    	17.3b	 14.234	46	0	20	5	6	2	0
344	SDSS J130052.49+274817.8	195.21874 	  27.80497 	G	  6834	 0.022795 	    	18.3g	 14.235	24	0	31	4	3	4	0
345	[DZ2015] 705	194.76600 	  27.95500 	GGroup	  6513	 0.021726 	    	     	 14.257	1	0	0	1	1	0	0
346	SDSS J125905.94+280228.8	194.77477 	  28.04134 	G	  8154	 0.027200 	    	20.40	 14.258	12	0	17	3	0	4	0
347	SDSS J125902.92+275829.0	194.76219 	  27.97474 	G	  5481	 0.018283 	    	19.8g	 14.397	7	0	24	2	0	4	0
348	IC 3960A	194.79017 	  27.86740 	G	  6916	 0.023069 	    	17.1g	 14.497	40	1	45	8	5	7	0
349	2MASX J12590459+2754389	194.76933 	  27.91098 	G	  6432	 0.021455 	    	16.1g	 14.571	60	0	44	7	10	6	0
350	SDSS J125902.43+280021.3	194.76015 	  28.00594 	G	  7974	 0.026600 	    	20.38	 14.606	14	0	26	3	1	4	0
351	2MASX J12592732+2747058	194.86377 	  27.78505 	G	  6618	 0.022075 	    	17.16	 14.630	30	0	40	6	3	6	1
352	2MASX J12590475+2803019	194.76990 	  28.05039 	G	  5071	 0.016915 	    	17.3g	 14.660	43	0	40	9	7	6	0
353	ABELL 1656:[EF2011] 2580	195.00519 	  27.73179 	G	  8034	 0.026800 	    	17.0g	 14.791	1	0	0	0	1	0	0
354	SDSS J130001.48+274352.6	195.00622 	  27.73128 	G	  8082	 0.026960 	    	17.3V	 14.816	14	0	24	5	3	4	0
355	2MASX J13000174+2743453	195.00713 	  27.72922 	GPair	  8041	 0.026822 	    	16.51	 14.934	13	0	11	1	0	2	0
356	2MASX J13011362+2754512	195.30678 	  27.91427 	G	  5852	 0.019520 	    	16.8b	 14.947	48	1	37	8	9	7	0
357	SDSS J125944.09+274434.9	194.93374 	  27.74304 	G	  7435	 0.024800 	    	20.39	 15.009	8	0	17	2	0	4	0
358	SDSS J125954.54+274354.2	194.97726 	  27.73173 	G	  5405	 0.018030 	PHOT	22.1g	 15.020	2	0	25	1	1	4	0
359	GIN 767	194.75030 	  27.96748 	G	  8329	 0.027783 	    	16.5g	 15.037	71	0	51	10	12	7	0
360	SDSS J125950.06+274407.3	194.95861 	  27.73537 	G	  7675	 0.025600 	    	18.9g	 15.038	7	0	17	2	0	4	0
361	IC 3960	194.78317 	  27.85500 	G	  6622	 0.022089 	    	15.4g	 15.174	109	1	70	15	18	10	1
362	SDSS J125859.50+275936.0	194.74794 	  27.99334 	G	  6184	 0.020628 	    	19.58	 15.181	8	0	24	2	0	4	0
363	ABELL 1656:[EF2011] 2822	195.23080 	  27.79202 	G	  7174	 0.023930 	PHOT	20.4g	 15.240	1	0	0	0	1	0	0
364	SDSS J125944.94+274413.9	194.93728 	  27.73722 	G	  5959	 0.019877 	    	17.6g	 15.272	19	0	28	5	3	4	0
365	ABELL 1656:[EF2011] 7165	194.93620 	  27.73623 	G	  5966	 0.019900 	    	     	 15.347	1	0	0	0	1	0	0
366	SDSS J130035.58+274430.5	195.14827 	  27.74182 	G	  8544	 0.028500 	    	23.3g	 15.360	2	0	8	1	0	4	0
367	SDSS J125859.47+275604.2	194.74782 	  27.93453 	G	  5766	 0.019233 	    	17.5g	 15.373	39	0	37	7	4	4	0
368	NGC 4911	195.23366 	  27.79084 	G	  7985	 0.026635 	    	13.55	 15.396	201	5	104	23	24	12	0
369	NGC 4911A	195.22549 	  27.78372 	G	  8359	 0.027883 	    	15.9g	 15.419	38	0	24	5	8	4	0
370	SDSS J130108.50+280623.8	195.28544 	  28.10664 	G	  6146	 0.020500 	PHOT	22.5g	 15.426	1	0	25	1	1	4	0
371	MAPS-NGP O_323_1038033	195.05304 	  27.71969 	GPair	  4947	 0.016500 	    	18.43	 15.472	6	0	4	2	0	0	0
372	SDSS J130002.33+274311.0	195.00974 	  27.71974 	G	  5606	 0.018700 	    	19.90	 15.489	7	0	17	2	0	4	0
373	SDSS J125857.78+275720.4	194.74076 	  27.95569 	G	  5906	 0.019700 	    	20.66	 15.586	7	0	17	2	0	4	0
374	2MASX J12592581+2811128	194.85758 	  28.18699 	G	  7718	 0.025744 	    	17.1g	 15.679	31	0	28	6	4	6	0
375	SDSS J130113.65+280459.1	195.30693 	  28.08312 	G	  5815	 0.019398 	    	18.40	 15.801	15	0	17	6	3	4	0
376	2MASX J13000297+2814253	195.01253 	  28.24031 	G	  7684	 0.025631 	    	16.7g	 15.839	44	0	36	10	8	6	1
377	SDSS J130119.99+275739.6	195.33331 	  27.96103 	G	  7891	 0.026321 	    	18.0g	 15.896	14	0	21	6	2	4	0
378	[ALB2009] 22156	194.78900 	  27.82380 	G	  5066	 0.016900 	    	24.4B	 15.909	1	0	3	0	0	0	0
379	SDSS J130045.20+274449.2	195.18837 	  27.74704 	G	  9355	 0.031206 	    	18.76	 16.048	15	0	17	6	2	4	0
380	SDSS J130017.40+274241.4	195.07250 	  27.71150 	G	  7195	 0.024000 	    	19.57	 16.061	11	0	9	2	0	0	0
381	SDSS J125901.89+275154.4	194.75788 	  27.86511 	G	  7555	 0.025200 	    	20.35	 16.099	9	0	11	1	0	0	0
382	GIN 768	194.73023 	  27.96470 	G	  5701	 0.019016 	    	16.2g	 16.108	88	0	45	8	15	6	0
383	SDSS J125957.74+281447.9	194.99063 	  28.24667 	G	  6712	 0.022389 	    	14.3g	 16.341	15	0	21	12	10	4	1
384	NGC 4881	194.99000 	  28.24739 	G	  6740	 0.022482 	    	14.7b	 16.389	183	5	62	9	14	7	0
385	SDSS J130026.25+274241.3	195.10940 	  27.71150 	G	  6535	 0.021800 	    	20.26	 16.426	6	0	17	2	0	4	0
386	SDSS J130022.18+281449.5	195.09246 	  28.24710 	G	  7965	 0.026568 	    	17.6g	 16.500	25	0	24	6	4	4	0
387	SDSS J130005.94+281508.7	195.02542 	  28.25194 	G	  7259	 0.024213 	    	22.7g	 16.503	19	0	7	3	0	4	0
388	CGCG 160-092	195.28847 	  27.81833 	G	  5965	 0.019897 	    	16.1b	 16.520	75	0	35	12	8	7	0
389	SDSS J130006.16+281508.4	195.02576 	  28.25228 	VisS	  6336	 0.021136 	SPEC	18.8R	 16.522	2	0	0	2	2	0	0
390	SDSS J130045.54+274411.2	195.18978 	  27.73647 	G	  7045	 0.023500 	    	20.54	 16.634	7	0	17	2	0	4	0
391	SDSS J125947.14+274237.1	194.94644 	  27.71031 	G	  8439	 0.028149 	    	14.6g	 16.660	5	0	15	3	3	4	0
392	CGCG 160-079	194.94640 	  27.71030 	G	  8419	 0.028083 	    	14.6g	 16.661	73	0	25	9	10	4	0
393	NGC 4860	194.76625 	  28.12370 	G	  7980	 0.026618 	    	14.2g	 16.682	161	2	111	16	22	11	0
394	NGC 4858	194.75850 	  28.11575 	G	  9436	 0.031475 	    	15.6g	 16.791	134	3	73	15	17	10	0
395	SDSS J125916.39+274618.2	194.81829 	  27.77175 	G	  6296	 0.021000 	    	18.27	 16.805	9	0	31	2	1	4	0
396	NGC 4858 GROUP	194.75833 	  28.11667 	GGroup	  9436	 0.031475 	    	19.87	 16.826	1	0	0	0	0	0	0
397	SDSS J125855.50+275314.7	194.73125 	  27.88742 	G	  7945	 0.026500 	    	19.96	 16.919	8	0	17	2	0	4	0
398	MAPS-NGP O_323_1039345	195.21208 	  27.74292 	G	  8132	 0.027125 	    	17.04	 16.930	18	0	13	2	0	0	1
399	SDSS J130051.09+274434.7	195.21292 	  27.74300 	G	  8120	 0.027087 	    	17.3g	 16.951	11	0	0	2	5	0	1
400	2MASX J12592021+2811528	194.83418 	  28.19792 	G	  9439	 0.031485 	    	16.3g	 16.954	37	0	30	8	4	6	0
